Sample,Gene,SE_Score
TCGA-DJ-A2PS-01,NF2,-0.023290515
TCGA-HT-7873-01,TBC1D3,-0.023288608
TCGA-BJ-A2N7-01,TBC1D3,-0.023285627
TCGA-EM-A4G1-01,TBC1D3,-0.023285627
TCGA-YZ-A983-01,KIRREL,-0.023285598
TCGA-RW-A68B-01,KIRREL,-0.023275644
TCGA-DJ-A3UT-01,TBC1D3,-0.023269892
TCGA-W2-A7H7-01,KIRREL,-0.023257375
TCGA-H2-A422-01,TBC1D3,-0.023255706
TCGA-E8-A44K-01,MAP4K4,-0.023220778
TCGA-DX-AB30-01,TBC1D3,-0.02321577
TCGA-EL-A3H8-01,TBC1D3,-0.023210526
TCGA-DJ-A3VD-01,TBC1D3,-0.023203611
TCGA-EL-A3T1-01,TBC1D3,-0.023199797
