Sample	Gene	SE_Score
TCGA-43-7657-01	EP300	0.0097
TCGA-43-7658-01	FERMT2	0.0058
TCGA-43-8115-01	TXNRD1	0.0056
TCGA-43-8116-01	EP300	0.0074
TCGA-43-8118-01	MDM2	0.0040
TCGA-43-A474-01	EP300	0.0060
TCGA-43-A475-01	EP300	0.0063
TCGA-43-A56U-01	EP300	0.0074
TCGA-43-A56V-01	EP300	0.0079
TCGA-44-2655-01	EP300	0.0110
TCGA-44-2656-01	CDAN1	0.0039
TCGA-44-2657-01	CDAN1	0.0048
TCGA-44-2662-01	FERMT2	0.0054
TCGA-44-2665-01	ELMO2	0.0057
TCGA-44-2666-01	ITGB5	0.0095
TCGA-44-2668-01	EP300	0.0055
TCGA-44-3396-01	EP300	0.0048
TCGA-44-3398-01	EP300	0.0079
TCGA-44-3917-01	EP300	0.0054
TCGA-44-3918-01	HSPA8	0.0034
TCGA-44-3919-01	ELMO2	0.0087
TCGA-44-4112-01	CDAN1	0.0082
TCGA-44-5643-01	CBFB	0.0059
